Team,Round,Advance_Prob
Wright St.,2,0.0136
Furman,2,0.01196
Tennessee St.,2,0.00998
UMBC,2,0.00976
Howard,2,0.00426
Southern,2,0.00404
LIU,2,0.00292
Siena,2,0.00234
Duke,3,0.6253
Arizona,3,0.60446
Illinois,3,0.5463
Michigan,3,0.5455
Houston,3,0.53152
Michigan St.,3,0.51232
Florida,3,0.44518
Iowa St.,3,0.41838
Connecticut,3,0.3994
Purdue,3,0.33984
Alabama,3,0.2883
Gonzaga,3,0.28684
Texas Tech,3,0.19934
Nebraska,3,0.18932
Tennessee,3,0.15814
Virginia,3,0.15374
Vanderbilt,3,0.14788
Arkansas,3,0.13434
Kansas,3,0.12258
St. John's,3,0.10606
Louisville,3,0.10474
Saint Mary's,3,0.08376
Texas,3,0.07068
Villanova,3,0.06868
Iowa,3,0.0672
N.C. State,3,0.06476
BYU,3,0.06152
Santa Clara,3,0.05862
North Carolina,3,0.05094
Georgia,3,0.05076
Saint Louis,3,0.05022
Kentucky,3,0.0453
Clemson,3,0.0428
Texas A&M,3,0.04078
Wisconsin,3,0.03914
Miami FL,3,0.03854
TCU,3,0.03782
Ohio St.,3,0.0363
UCLA,3,0.03494
SMU,3,0.0242
South Florida,3,0.02416
Utah St.,3,0.02094
McNeese,3,0.02038
UCF,3,0.01806
Missouri,3,0.01794
Yale,3,0.01126
Northern Iowa,3,0.0097
Hofstra,3,0.00834
Liberty,3,0.00822
Utah Valley,3,0.0081
High Point,3,0.00748
UC Irvine,3,0.00472
Miami OH,3,0.00394
Troy,3,0.00186
Queens,3,0.00174
North Dakota St.,3,0.00162
Furman,3,0.00122
UMBC,3,0.00122
Tennessee St.,3,0.00116
Wright St.,3,0.00082
Howard,3,0.00028
Southern,3,0.00018
LIU,3,0.00012
Siena,3,0.0001
Duke,4,0.4901
Arizona,4,0.39828
Michigan,4,0.3707
Houston,4,0.3288
Illinois,4,0.29764
Florida,4,0.2482
Iowa St.,4,0.2372
Michigan St.,4,0.2142
Connecticut,4,0.1876
Purdue,4,0.14856
Gonzaga,4,0.13174
Alabama,4,0.09676
Nebraska,4,0.0953
Texas Tech,4,0.0706
Vanderbilt,4,0.06388
Tennessee,4,0.06098
Arkansas,4,0.05464
Louisville,4,0.05326
Kansas,4,0.05032
Virginia,4,0.04384
St. John's,4,0.03816
Saint Mary's,4,0.03536
Texas,4,0.02302
Iowa,4,0.02154
BYU,4,0.02098
Villanova,4,0.02088
North Carolina,4,0.01952
N.C. State,4,0.01764
Saint Louis,4,0.01612
Kentucky,4,0.01612
Georgia,4,0.0151
Wisconsin,4,0.013
Santa Clara,4,0.01222
Miami FL,4,0.0098
Ohio St.,4,0.00976
Clemson,4,0.0095
TCU,4,0.00872
Texas A&M,4,0.008
UCLA,4,0.00742
SMU,4,0.00602
Missouri,4,0.00546
Utah St.,4,0.00536
South Florida,4,0.0043
UCF,4,0.00346
McNeese,4,0.0027
Yale,4,0.00106
Northern Iowa,4,0.00094
High Point,4,0.0008
Liberty,4,0.00076
UC Irvine,4,0.00074
Hofstra,4,0.00072
Utah Valley,4,0.00068
Miami OH,4,0.00064
Furman,4,0.0002
Queens,4,0.00018
Troy,4,0.00012
North Dakota St.,4,0.0001
UMBC,4,0.0001
Wright St.,4,8e-05
Tennessee St.,4,6e-05
Southern,4,2e-05
Siena,4,2e-05
Howard,4,2e-05
Duke,5,0.31034
Arizona,5,0.29776
Michigan,5,0.26852
Illinois,5,0.1874
Houston,5,0.13044
Iowa St.,5,0.1164
Florida,5,0.11618
Gonzaga,5,0.0768
Connecticut,5,0.07626
Michigan St.,5,0.07296
Purdue,5,0.04668
Alabama,5,0.03268
Nebraska,5,0.0278
Tennessee,5,0.02778
Texas Tech,5,0.02764
Arkansas,5,0.02704
Virginia,5,0.02246
Vanderbilt,5,0.02014
Louisville,5,0.01284
Kansas,5,0.0125
St. John's,5,0.0102
BYU,5,0.00866
Saint Mary's,5,0.00738
Saint Louis,5,0.0068
Kentucky,5,0.00606
N.C. State,5,0.00444
Texas,5,0.00444
Iowa,5,0.0044
Wisconsin,5,0.00436
Georgia,5,0.00428
North Carolina,5,0.00392
Villanova,5,0.00334
Texas A&M,5,0.00298
UCLA,5,0.00282
Ohio St.,5,0.00272
Clemson,5,0.00258
Santa Clara,5,0.00198
Miami FL,5,0.0016
TCU,5,0.00116
SMU,5,0.00112
Utah St.,5,0.00094
Missouri,5,0.0007
South Florida,5,0.00058
McNeese,5,0.0005
UCF,5,0.00046
Yale,5,0.0003
Miami OH,5,0.00016
Northern Iowa,5,0.00012
UC Irvine,5,0.0001
Utah Valley,5,8e-05
Liberty,5,8e-05
Furman,5,4e-05
High Point,5,4e-05
Wright St.,5,2e-05
Tennessee St.,5,2e-05
Arizona,6,0.20762
Duke,6,0.18762
Michigan,6,0.14076
Illinois,6,0.09696
Florida,6,0.07496
Houston,6,0.06682
Iowa St.,6,0.0423
Gonzaga,6,0.03156
Michigan St.,6,0.02312
Connecticut,6,0.02158
Purdue,6,0.01786
Nebraska,6,0.01164
Alabama,6,0.0098
Arkansas,6,0.009
Virginia,6,0.00826
Texas Tech,6,0.00704
Tennessee,6,0.00676
Vanderbilt,6,0.00608
Louisville,6,0.00456
St. John's,6,0.0042
Saint Mary's,6,0.00294
Kansas,6,0.00278
BYU,6,0.0023
Kentucky,6,0.0019
Saint Louis,6,0.00162
Texas,6,0.00116
Wisconsin,6,0.001
Georgia,6,0.001
N.C. State,6,0.00086
Texas A&M,6,0.00082
UCLA,6,0.00072
Iowa,6,0.00066
Villanova,6,0.00064
Ohio St.,6,0.00064
North Carolina,6,0.0005
Miami FL,6,0.0004
Santa Clara,6,0.00028
Clemson,6,0.00026
TCU,6,0.00022
Utah St.,6,0.00018
SMU,6,0.0001
McNeese,6,0.0001
South Florida,6,0.0001
UCF,6,8e-05
Missouri,6,8e-05
Yale,6,6e-05
Northern Iowa,6,6e-05
Miami OH,6,2e-05
Liberty,6,2e-05
