Game_ID,Round,Team1,Team2,Team1_Win_Prob,Team2_Win_Prob,PickPct1,PickPct2,Recommended_Pick,Recommended_EV
24,1,Houston,Furman,0.8921309399276517,0.10786906007234831,0.0,0.0,Houston,8.921309399276517
25,1,Arizona,Siena,0.943177450235784,0.05682254976421597,0.0,0.0,Arizona,9.43177450235784
26,1,UCLA,Texas A&M,0.41260709923453853,0.5873929007654615,0.0,0.0,Texas A&M,5.873929007654615
27,1,Arkansas,Yale,0.6960316357678211,0.3039683642321789,0.0,0.0,Arkansas,6.960316357678211
28,1,Virginia,McNeese,0.6867634225844249,0.3132365774155751,0.0,0.0,Virginia,6.867634225844249
29,1,BYU,Miami OH,0.7037198846744323,0.29628011532556775,0.0,0.0,BYU,7.037198846744323
30,1,Gonzaga,UC Irvine,0.8864712383354177,0.11352876166458226,0.0,0.0,Gonzaga,8.864712383354178
31,1,Kentucky,Saint Louis,0.4041682347648057,0.5958317652351943,0.0,0.0,Saint Louis,5.958317652351943
32,1,Illinois,Tennessee St.,0.9245308925572783,0.07546910744272173,0.0,0.0,Illinois,9.245308925572782
33,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
34,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
35,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
36,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
37,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
38,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
39,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
40,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
41,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
42,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
43,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
44,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
45,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
46,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
47,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
48,2,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,12.505899469836365
49,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
50,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
51,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
52,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
53,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
54,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
55,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
56,3,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,25.01179893967273
57,4,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,50.02359787934546
58,4,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,50.02359787934546
59,4,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,50.02359787934546
60,4,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,50.02359787934546
61,5,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,100.04719575869092
62,5,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,100.04719575869092
63,6,,,0.37470502650818166,0.6252949734918183,0.0,0.0,,200.09439151738184
